Timestamp;pix_x_v;yaw_angvel_100
9195000;333;-1302
9222000;363;-1107
9249000;363;-1150
9276000;367;-1180
9303000;283;-1192
9330000;364;-1143
9357000;341;-1156
9383000;449;-1259
9410000;298;-1229
9437000;311;-1284
9463000;389;-1296
9490000;305;-1143
9516000;363;-893
9542000;178;-405
9568000;73;64
9594000;0;137
9620000;-45;192
9647000;-77;278
9674000;-114;430
9701000;-120;766
9728000;-171;1083
9754000;-355;1205
9781000;-438;1315
9808000;-412;1401
9835000;-459;1566
9862000;-378;1669
9889000;-488;1749
9916000;-489;1743
9943000;-467;1755
9970000;-639;1773
9997000;-629;1773
10024000;-437;1767
10051000;-450;1730
10078000;-621;1730
10105000;-632;1822
10131000;-420;1944
10158000;-518;2029
10185000;-610;2097
10212000;-610;2145
10239000;-527;2005
10266000;-590;1840
10293000;-570;1755
10320000;-456;1834
10347000;-507;1859
10374000;-623;1743
10400000;-420;1584
10426000;-465;1309
10452000;-403;1028
10479000;-242;778
10506000;-190;333
10533000;-108;-155
10560000;32;-112
10587000;39;-319
10614000;118;-661
10640000;269;-979
10667000;237;-1125
10694000;314;-1137
10721000;362;-997
10748000;273;-924
10775000;379;-911
10802000;208;-1156
10829000;381;-1485
10856000;561;-1888
10883000;380;-2382
10910000;864;-2852
10937000;921;-3029
10963000;711;-3176
10990000;927;-3261
11017000;908;-3225
11044000;699;-3017
11070000;612;-2620
11097000;722;-2199
11124000;736;-2016
11151000;479;-1723
11178000;487;-1558
11205000;383;-1632
11232000;568;-1717
11258000;501;-1742
11285000;377;-1717
11312000;647;-1638
11339000;549;-1406
11366000;384;-1296
11393000;382;-1211
11420000;325;-1076
11446000;282;-728
11473000;111;-191
11499000;46;259
11526000;-78;540
11553000;-137;1065
11580000;-324;1517
11607000;-439;1767
11634000;-618;1779
11661000;-446;1608
11688000;-494;1480
11715000;-339;1389
11742000;-326;1248
11769000;-397;1218
11796000;-343;1212
11823000;-318;1328
11850000;-370;1334
11876000;-462;1352
11903000;-449;1315
11930000;-285;1346
11957000;-452;1462
11984000;-426;1498
12011000;-499;1486
12038000;-378;1437
12065000;-449;1315
12092000;-455;1157
12118000;-239;925
12145000;-233;583
12172000;-142;-124
12199000;78;-454
12226000;115;-759
12252000;316;-1058
12279000;273;-1430
12306000;450;-1876
12333000;591;-2028
12360000;649;-1973
12387000;396;-1803
12413000;539;-1632
12440000;435;-1357
12467000;412;-1204
12494000;363;-1400
12520000;305;-1693
12547000;645;-1937
12574000;444;-1833
12601000;569;-1772
12627000;386;-1577
12654000;530;-1400
12681000;405;-710
12708000;112;34
12735000;-113;681
12762000;-246;1437
12789000;-426;2243
12816000;-712;2921
12842000;-891;3146
12869000;-978;3342
12896000;-977;3592
12923000;-915;3537
12950000;-241;3201
12977000;-606;2634
13003000;-737;1871
13030000;-546;1010
13057000;-229;88
13084000;191;-1150
13111000;346;-1858
13138000;541;-2328
13165000;798;-2620
13192000;667;-2492
13219000;796;-2419
13246000;668;-2389
13273000;855;-2389
13300000;613;-2364
13327000;674;-2413
13353000;649;-2193
13379000;681;-1754
13406000;369;-564
13433000;106;436
13460000;-150;1309
13487000;-340;1846
13514000;-629;2054
13540000;-824;2548
13567000;-683;3024
13594000;-71;3116
13621000;-773;2768
13648000;-688;2036
13675000;-391;754
13702000;-135;-332
13728000;227;-1070
13755000;303;-1424
13782000;435;-1619
13809000;370;-1735
13836000;495;-1754
13863000;499;-1687
13890000;455;-1668
13917000;560;-1796
13944000;382;-2016
13971000;461;-2212
13998000;474;-2236
14025000;750;-2028
14052000;527;-1662
14079000;420;-1424
14105000;362;-1418
14131000;382;-1552
14158000;456;-1674
14185000;503;-1790
14212000;541;-1815
14239000;458;-1772
14266000;458;-1748
14293000;481;-1809
14319000;495;-1796
14346000;471;-1784
14373000;550;-1876
14399000;441;-2132
14426000;639;-2303
14453000;693;-2328
14480000;583;-2163
14507000;545;-1864
14534000;601;-1650
14560000;483;-1308
14587000;321;-911
14614000;293;-496
14641000;103;-51
14668000;0;162
14695000;-42;577
14722000;-216;888
14749000;-366;1273
14776000;-534;1645
14803000;-422;1999
14830000;-588;2451
14857000;-849;3030
14884000;-783;3470
14911000;-1085;3897
14937000;-1297;4044
14964000;-1246;4037
14991000;-1199;3946
15018000;-980;3873
15045000;-1173;3854
15072000;-1281;3610
15099000;-903;3470
15126000;-972;3915
15153000;-1359;4160
15180000;-1402;4123
15207000;-944;3860
15234000;-517;3494
15261000;-198;3220
15287000;-647;2597
15314000;-793;1511
15341000;-341;650
15368000;0;-680
15395000;288;-1528
15422000;391;-2340
15449000;827;-2999
15476000;752;-3255
15503000;935;-3408
15530000;1061;-3499
15557000;1016;-3493
15584000;926;-3505
15611000;904;-3469
15638000;709;-3530
15664000;918;-3707
15691000;857;-3756
15718000;1219;-3707
15745000;1079;-3341
15772000;1000;-3115
15799000;777;-2871
15826000;790;-2578
15852000;816;-2138
15879000;539;-1650
15906000;509;-1430
15933000;433;-1265
15960000;300;-1247
15987000;377;-1412
16014000;477;-1583
16040000;401;-1772
16067000;512;-1772
16094000;537;-1595
16121000;484;-1406
16148000;337;-1064
16175000;304;-832
16202000;271;-728
16229000;142;-539
16256000;169;-258
16283000;39;125
16310000;-39;296
