Timestamp;pix_x_v;yaw_angvel_100
9461000;192;-702
9487000;153;-837
9514000;277;-953
9541000;311;-1130
9567000;343;-1386
9594000;393;-1545
9621000;494;-1630
9648000;453;-1679
9675000;497;-1661
9702000;595;-1594
9729000;310;-1624
9756000;325;-1545
9783000;574;-1526
9810000;575;-1502
9836000;444;-1655
9863000;454;-1960
9890000;567;-2106
9916000;683;-2253
9943000;653;-2320
9970000;712;-2314
9996000;688;-2338
10023000;593;-2448
10050000;731;-2570
10077000;582;-2595
10103000;664;-2674
10130000;628;-2595
10156000;851;-2387
10183000;761;-2045
10209000;426;-1893
10235000;717;-1758
10262000;410;-1563
10289000;345;-1398
10315000;425;-1203
10342000;397;-1075
10368000;218;-1136
10395000;388;-1282
10422000;447;-1417
10449000;497;-1508
10476000;411;-1606
10503000;382;-1710
10530000;504;-1667
10557000;471;-1587
10584000;375;-1313
10610000;434;-1038
10637000;251;-513
10663000;78;-165
10688000;45;66
10714000;0;-7
10740000;0;23
10767000;0;5
10793000;0;11
10820000;0;23
10847000;0;-1
10873000;0;-7
10900000;0;17
10927000;0;11
10954000;0;35
10981000;0;11
11008000;0;11
11035000;0;23
11061000;0;5
11088000;0;35
11115000;0;47
11142000;-34;108
11169000;-45;175
11196000;-70;200
11223000;-38;340
11250000;-93;456
11276000;-187;621
11302000;-174;829
11329000;-342;1073
11355000;-295;1311
11381000;-380;1585
11407000;-628;1762
11434000;-685;2007
11460000;-556;2232
11487000;-638;2312
11514000;-766;2220
11541000;-673;1988
11568000;-562;1939
11595000;-502;1866
11622000;-605;1903
11649000;-676;2049
11676000;-573;2342
11703000;-662;2562
11730000;-623;2776
11757000;-936;2946
11784000;-773;3032
11810000;-923;3166
11837000;-904;3569
11864000;-901;3484
11891000;-907;3380
11918000;-1029;3239
11944000;-899;3111
11971000;-787;3123
11998000;-748;3026
12024000;-663;2696
12051000;-880;2342
12078000;-627;2214
12104000;-773;2342
12130000;-606;2428
12157000;-823;2531
12183000;-694;2525
12210000;-681;2446
12237000;-501;2257
12264000;-826;2092
12290000;-592;1738
12317000;-373;1073
12344000;-245;438
12371000;-87;145
12398000;0;-7
12425000;0;5
12452000;0;59
12479000;0;23
12505000;39;-25
12532000;0;78
12559000;-45;41
12586000;0;-37
12613000;0;-7
12640000;43;-43
12667000;0;-1
12693000;0;-37
12720000;0;-74
12747000;91;-251
12774000;101;-446
12801000;113;-507
12828000;189;-440
12855000;135;-367
12882000;115;-507
12909000;168;-727
12936000;249;-849
12963000;330;-1105
12990000;310;-1258
13017000;375;-1429
13044000;548;-1746
13071000;550;-2009
13097000;526;-2271
13124000;815;-2552
13151000;829;-2875
13178000;1043;-3370
13205000;928;-3803
13232000;1252;-4291
13259000;1426;-5152
13286000;1288;-5781
13313000;1127;-6330
13339000;1636;-6238
13366000;1379;-5927
13393000;1160;-5701
13420000;1235;-4798
13447000;1061;-4127
13474000;1024;-2991
13500000;932;-2173
13526000;491;-947
13553000;174;-92
13580000;0;121
13607000;0;-13
13634000;0;41
13661000;0;17
13688000;-35;29
13715000;0;23
13742000;36;-1
13769000;0;11
13796000;0;17
13823000;0;-1
13850000;0;23
13876000;0;-7
13903000;0;23
13930000;0;29
13956000;0;41
13983000;0;35
14010000;-43;35
14037000;0;59
14064000;0;59
14091000;-46;108
14118000;-42;316
14145000;-122;542
14172000;-183;676
14199000;-196;731
14226000;-156;719
14253000;-236;743
14280000;-218;780
