Timestamp;yaw_angvel_10;pix_x_v_filter_10;tar_v_ronghe;tar_v_ronghe_filter;armor_sign
5844000;-134;80;-42;-23;1
5872000;-124;93;-17;-8;1
5900000;-111;85;-13;-4;1
5928000;-106;119;30;14;1
5956000;-99;83;-3;6;1
5984000;-111;95;-2;-8;1
6013000;-132;66;-56;-33;1
6041000;-164;162;-17;-15;1
6069000;-207;194;15;-16;1
6096000;-224;250;62;7;1
6125000;-223;176;-21;0;1
6153000;-235;191;-15;-6;1
6181000;-247;203;-14;-5;1
6209000;-255;208;-16;-2;1
6238000;-270;199;-42;-11;1
6266000;-287;276;29;0;1
6294000;-275;231;-9;-6;1
6322000;-265;221;-11;4;1
6350000;-266;188;-50;23;1
6378000;-266;181;-58;-22;1
6406000;-266;207;-27;-15;1
6434000;-273;205;-38;-27;1
6461000;-259;220;-6;-15;1
6489000;-225;230;39;41;1
6517000;-173;199;55;39;1
6545000;-128;154;48;40;1
6572000;-42;90;61;53;1
6600000;18;31;54;60;1
6628000;62;-8;53;53;1
6656000;109;-91;18;45;1
6684000;179;-80;87;63;1
6712000;235;-187;20;27;1
6741000;247;-201;16;34;1
6769000;230;-205;-17;-11;1
6796000;191;-180;-15;-20;1
6824000;174;-147;4;-10;1
6852000;153;-156;-24;-19;1
6881000;151;-162;-34;-35;1
6910000;155;-145;-11;-14;1
6938000;164;-163;-22;-9;1
6965000;184;-129;36;19;1
6993000;194;-162;7;11;1
7021000;188;-136;32;18;1
7050000;171;-217;-77;-33;1
7079000;156;-162;-29;-16;1
7107000;153;-99;40;3;1
7135000;142;-139;-16;-3;1
7162000;144;-152;-30;-8;1
7189000;147;-114;16;4;1
7217000;157;-129;9;7;1
7245000;171;-142;8;16;1
7273000;173;-166;-17;-8;1
7300000;173;-143;8;3;1
7327000;169;-165;16;2;1
7355000;168;-168;-24;-4;1
7383000;177;-177;-26;-1;1
7411000;188;-147;19;12;1
7438000;210;-153;34;30;1
7465000;252;-218;2;6;1
7492000;268;-237;-3;6;1
7520000;275;-230;10;8;1
7548000;263;-254;-28;-4;1
7577000;242;-268;-70;-36;1
7605000;225;-230;-38;-27;1
7633000;180;-194;-42;-26;1
7661000;125;-181;-82;-59;1
7689000;10;-102;-106;-88;1
7718000;-175;9;-212;-167;1
7746000;-463;199;-221;-194;1
7774000;-672;341;-57;-99;1
7803000;-748;406;16;-22;1
7832000;-667;387;-4;0;1
7860000;-477;413;24;-19;1
7888000;-272;278;46;34;1
7916000;-130;204;104;90;1
7944000;-54;118;80;84;1
7972000;-31;35;8;34;1
8001000;-55;16;-37;-12;1
8029000;-95;51;-37;-23;1
8057000;-150;74;-64;-56;1
8085000;-168;166;-5;-10;1
8113000;-171;142;-8;-16;1
8142000;-148;165;41;12;1
8170000;-134;127;35;20;1
8198000;-140;109;-15;1;1
8225000;-164;151;9;0;1
8253000;-200;123;-59;-33;1
8281000;-235;148;-65;-40;1
8309000;-248;168;-55;-38;1
8338000;-245;224;11;12;1
8366000;-228;178;-24;5;1
8395000;-200;180;6;23;1
8423000;-160;180;46;28;1
8451000;-144;122;-4;25;1
8479000;-148;148;21;25;1
8508000;-201;161;-16;-13;1
8536000;-248;135;-93;-56;1
8564000;-347;245;-66;-77;1
8592000;-381;247;-36;-64;1
8621000;-371;305;-20;-23;1
8649000;-273;289;58;36;1
8677000;-178;245;103;83;1
8705000;35;121;174;146;1
8734000;191;-43;142;138;1
8762000;286;-192;66;93;1
8790000;349;-269;40;60;1
8818000;352;-319;-14;12;1
8847000;311;-240;35;27;1
8876000;264;-263;-38;-5;1
8904000;217;-217;-32;-39;1
8932000;200;-200;-29;-33;1
8961000;199;-174;3;-3;1
8988000;208;-151;35;13;1
9017000;214;-185;1;2;1
9045000;227;-179;21;12;1
9073000;250;-190;31;37;1
9101000;280;-231;14;8;1
9130000;304;-300;-34;-3;1
9159000;303;-220;50;20;1
9187000;272;-262;-29;-22;1
9215000;240;-243;-38;-34;1
9243000;228;-186;14;-3;1
9271000;250;-172;52;42;1
9299000;282;-212;38;26;1
9327000;307;-197;81;28;1
9354000;309;-314;-51;-4;1
9382000;296;-241;17;2;1
9410000;291;-264;-12;-10;1
9438000;307;-218;56;18;1
9467000;323;-237;51;46;1
9495000;327;-294;-10;32;1
9523000;315;-236;38;15;1
9551000;304;-227;43;8;1
9580000;255;-263;-46;-19;1
9609000;125;-201;-105;-80;1
9637000;-29;-83;-125;-114;1
9665000;-163;24;-135;-132;1
9693000;-279;205;-43;-101;1
9721000;-330;227;-69;-75;1
9748000;-339;263;-36;-28;1
9776000;-328;296;12;-4;1
9803000;-278;269;30;33;1
9830000;-242;263;60;40;1
9859000;-192;190;26;43;1
9887000;-158;174;41;47;1
9915000;-139;124;3;26;1
9943000;-137;151;36;14;1
9971000;-150;92;-44;-20;1
10000000;-168;149;2;-10;1
10028000;-191;120;-53;-22;1
10056000;-206;152;-31;-30;1
10083000;-236;183;-26;-41;1
10111000;-261;214;-15;-16;1
10139000;-300;222;-44;-32;1
10168000;-325;242;-46;-25;1
10196000;-359;254;-67;-58;1
10224000;-397;322;-26;-55;1
10251000;-428;283;-102;-89;1
10279000;-427;287;-97;-89;1
10307000;-390;319;-23;-50;1
10335000;-339;333;43;28;1
10363000;-291;306;60;40;1
10392000;-233;208;6;52;1
10420000;-161;204;72;50;1
10447000;-102;120;35;50;1
10475000;-72;106;49;56;1
10502000;-8;43;40;46;1
10530000;55;5;60;50;1
10558000;161;-49;105;87;1
10586000;338;-184;127;130;1
10614000;395;-277;77;89;1
10641000;405;-367;-17;26;1
10668000;391;-316;27;24;1
10696000;341;-274;26;16;1
10724000;286;-272;-25;-38;1
10751000;208;-220;-44;-60;1
10779000;148;-160;-60;-65;1
10808000;81;-103;-36;-47;1
10836000;87;-59;19;-9;1
10864000;116;-90;12;10;1
10893000;189;-102;71;61;1
10921000;252;-142;89;66;1
10949000;297;-240;21;20;1
10977000;306;-242;28;27;1
11005000;338;-282;14;22;1
11033000;368;-253;77;38;1
11061000;377;-272;-16;22;1
11089000;345;-305;-5;6;1
11117000;313;-340;-77;-26;1
11145000;289;-256;-5;-19;1
11172000;249;-273;-64;-35;1
11201000;216;-179;-3;-5;1
11229000;185;-184;-26;-28;1
11257000;128;-151;-45;-29;1
11285000;67;-81;-61;-47;1
11313000;-40;-11;-52;-65;1
11341000;-124;24;-115;-92;1
11369000;-255;124;-113;-106;1
11396000;-338;172;-140;-121;1
11425000;-360;290;-27;-74;1
11453000;-342;302;4;-17;1
11481000;-319;303;-11;-4;1
11509000;-266;266;31;27;1
11537000;-193;236;77;83;1
11564000;-135;129;12;40;1
11593000;-117;106;4;20;1
11621000;-107;104;12;0;1
11649000;-123;110;2;0;1
11677000;-154;83;-58;-32;1
11705000;-203;153;-27;-47;1
11733000;-219;208;18;-4;1
11761000;-234;179;-29;-11;1
11789000;-261;191;-41;-24;1
11817000;-302;215;-55;-37;1
11845000;-355;226;-95;-43;1
11873000;-437;248;-152;-96;1
11900000;-501;243;-170;-136;1
11928000;-516;360;-36;-86;1
11956000;-487;385;-7;-36;1
11983000;-444;362;-28;-30;1
12011000;-378;325;19;5;1
12039000;-277;278;42;26;1
12067000;-249;298;93;52;1
12095000;-144;178;60;53;1
12123000;-78;139;75;74;1
12151000;11;52;71;74;1
12179000;92;-41;94;90;1
12208000;229;-84;132;111;1
12237000;316;-258;20;58;1
12265000;322;-296;-18;11;1
12293000;285;-260;-13;-16;1
12321000;221;-244;-58;-34;1
12348000;170;-223;-85;-76;1
12376000;101;-110;-25;-55;1
12404000;63;-63;-18;-36;1
12432000;42;-40;-3;-11;1
12460000;55;-32;28;14;1
12488000;97;-57;32;28;1
12516000;154;-99;40;46;1
12544000;210;-173;11;27;1
12571000;269;-205;34;44;1
12599000;319;-196;36;62;1
12627000;404;-326;29;55;1
12655000;460;-268;141;104;1
12683000;474;-358;-26;32;1
12711000;458;-321;80;28;1
12739000;430;-343;36;49;1
12767000;414;-303;66;33;1
12794000;395;-273;75;40;1
12822000;367;-288;36;26;1
12850000;349;-311;-7;13;1
12878000;346;-270;36;0;1
12906000;322;-293;-14;3;1
12934000;242;-286;-95;-57;1
12962000;117;-190;-100;-89;1
12990000;-3;-67;-108;-107;1
13019000;-120;17;-101;-105;1
13047000;-228;91;-124;-114;1
13075000;-284;148;-114;-103;1
13103000;-303;288;27;-23;1
13131000;-270;240;23;-1;1
13158000;-215;234;53;40;1
13186000;-140;179;64;53;1
